,回答欄,非掲載希望,,,
【基本情報】,,,,,
会社名：,Radilia株式会社,FALSE,,,
代表者名：,栁瀨 裕貴,FALSE,,,
所在地：,神奈川県大和市南林間5-7-15,FALSE,,,
電話番号：,090-3316-9481,FALSE,,,
メールアドレス：,info@radilia-inc.com,FALSE,,,
営業時間：,10:00-19:00,FALSE,,,
SNSリンク（あればで結構です）：,,FALSE,,,
GoogleマップURL：,,FALSE,,,
【キャッチコピー】,,,,,
メイン：,ずっと未完成なことを研究し続ける,FALSE,,,
サブ：,構造的な理解が意欲と創造力を育み、再現性を生む。(的な感じにしたい),FALSE,,,
【問題提起・解決定時】,,,,,
問題提起：,成長する人は真似のできない『才能』なのでしょうか？,FALSE,,,
解決提示：,営業以外での場面でも活きる成長に繋がる,FALSE,,,
,例①　営業が人によって異なり組織としての質のムラが大きい,FALSE,,,
,例②　現場から意見や案が出てこない,FALSE,,,
,例③　上司によって言うことが違う上司ガチャ状態,FALSE,,,
【講座の特徴／魅力】,,,,,
魅力／特徴：,"いわゆる営業テクニックに全振りした内容ではないから最初は疑心暗鬼な方が多いのも事実です。
また、実際に受講している方にしっかりと届けたい思いからeラーニング形式をとらず、リアルタイムでの講座にのみ限定しています。今や少し古臭いやり方とも言えますが、受講者からは『頭が整理された』『全然知らなかった』という声と共に、『部下の育成プログラムの改善ができる』『トークスクリプトを再構築したい』など実務に直結した意見を自ら話してくれる方が多いです。",FALSE,,,
【講座の内容】,,,,,
内容：,"初級→型を理解し再現できるプレイヤーへ
　　　全８回(各回1.5h＋質疑応答0.5h)
中級→顧客への提案・伴走ができるパートナーへ
　　　全６回
上級→社員育成～事業部拡大を担うマネージャーへ
 　　　全８回

※講座の構成はＡ回(解釈編)とＢ回(学術編)を交互に行い、体感と構造理解を深めるように構成しています。",FALSE,,,
【講師紹介】,,,,,
氏名：,柳瀬　裕貴,FALSE,,,
経歴：,,FALSE,,,
紹介文：,"麻布高校卒業。大学時代に塾講師に没頭し、大学中退と共に塾運営からスタート。その後、複数の営業会社や税理士事務所を経て独立。
上場企業の３カ月間の社員研修が３年以上継続中など、社員育成やメンターとして営業の育成や社員のモチベーションアップ、業績改善で定評がある。
誰にでも分かるような言語化と構造的な理解の促進が好評で、感覚値を説明可能な社内ナレッジに落とし込む、現場からの創造的な意見創出などで顧客満足度が高い。
",FALSE,,,
写真提供の可否：,可　／　不可,FALSE,,,
【料金】,,,,,
内容：,"初級→型を理解し再現できるプレイヤーへ
　　　全８回(各回1.5h＋質疑応答0.5h)
中級→顧客への提案・伴走ができるパートナーへ
　　　全６回
上級→社員育成～事業部拡大を担うマネージャーへ
 　　　全８回

※講座の構成はＡ回(解釈編)とＢ回(学術編)を交互に行い、体感と構造理解を深めるように構成しています。",FALSE,,,
【利用の流れ】,,,,改修案,補足
内容：,"例）申込〜受講〜助成金支給までの流れ　※おすすめの流れ教えてほしいです。

①フォームからお申し込みください。
②開始時期、講座間隔など都合に合わせたスケジュール設定を行います。(オンラインにて60分程度)
③対象者を確定させて、お打合せで決まったスケジュールで開始します。

※助成金申請補助は弊社ではできかねますので、ご自身にてご申請ください。
※お問い合わせフォームからご相談いただいた方には、一度30～60分ほど面談をさせていただきます。",FALSE,,"①お問い合わせ・事前相談
お問い合わせフォームよりご連絡ください。
内容を確認のうえ、オンラインにて30〜60分程度の事前面談を実施します。

②講座内容・受講条件の確認
面談にて、
・講座内容
・受講対象者
・助成金活用の可否（条件確認）
・開始時期・講座間隔
などをすり合わせます。

③受講スケジュール確定・お申込み
内容にご納得いただけましたら、
受講対象者を確定し、スケジュールを決定します。

④講座スタート（オンライン）
確定したスケジュールにて、オンライン講座を開始します。

⑤受講完了・助成金申請（お客様対応）
講座終了後、助成金の申請手続きを行っていただきます。

※ 助成金の申請手続きは弊社では行っておりません。
※ 助成金の支給可否・支給時期については、各制度・行政の判断となります。
※ お問い合わせ後、必ず事前面談を実施させていただいております。","オンライン講座＋助成金を検討される方が、最初に不安なく理解できるよう、流れを整理・修正しています。

主なポイントとしては、
・「申込＝即スタート」ではなく、まず事前相談（面談）があること
・助成金について、弊社の対応範囲（申請代行は行わない点）が早い段階で伝わること
・誰が・いつ・何をするのかが、ステップごとに分かること

を意識しています。

特に助成金を前提に検討される方は、
「まず何をすればいいのか」「どこまでサポートしてもらえるのか」が分からないと不安になりやすいため、
①お問い合わせ → ②面談で条件確認 → ③スケジュール確定 → ④受講開始
という流れが直感的に伝わる構成にしています。

内容や表現については調整可能ですので、
気になる点がありましたらご意見いただけますと幸いです！"
【よくある質問】,,,,改修案,補足
内容：,"※載せておいたほうがいいことなどアドバイスお願いします。

個人受講は可能ですか？→可能です。

途中での人数変更は可能ですか？→可能ですが、減少の場合は事前にご相談ください。

割引していただけますか？→機械的な受注ではなく必ず事前面談を行っておりますので、その際にご相談ください。企業や個人の現状が理由で受けたいけど受けれないということが起きないよう、最適案を一緒に検討させていただきます。",FALSE,,"Q. 個人での受講は可能ですか？
A. はい、個人の方も受講可能です。

Q. 受講人数の途中変更は可能ですか？
A. 可能です。
ただし、人数が減少する場合はスケジュールや費用に影響する可能性があるため、事前にご相談ください。

Q. 割引は可能ですか？
A. 本講座は一律価格での機械的な受注ではなく、必ず事前面談を実施しております。
企業様・個人様それぞれの状況を踏まえ、無理のない形で受講いただける方法を面談時にご相談させていただきます。

Q. 助成金は必ず受給できますか？
A. 助成金の受給可否は、各制度および行政の判断となります。弊社では支給保証は行っておりません。

Q. 助成金の申請サポートはありますか？
A. 申請代行は行っておりません。必要に応じて、社労士などの専門家へご相談ください。

Q. 支払い方法を教えてください。
A. お支払い方法の詳細については、事前面談時にご案内いたします。

Q. キャンセルや返金は可能ですか？
A. キャンセル・返金の可否や条件については、受講内容や進行状況により異なるため、事前面談時にご説明いたします。

Q. 録画視聴は可能ですか？
A. 講座の形式により異なります。詳細は事前面談にてご案内いたします。

Q. ITや専門知識がなくても受講できますか？
A. はい、特別な専門知識がなくても受講いただける内容を想定しています。","・助成金に関する誤解（支給保証・申請代行）を事前に防ぐため
・支払い、キャンセル、受講条件など、トラブルになりやすい点を先回りして明示するため
・「まずは相談すればよい」という行動導線を分かりやすくするため
・事前面談の重要性を自然に伝え、安心感を持って問い合わせてもらうため

を目的としています。

文言のトーンや、
「このFAQは載せなくてよい」「もう少し簡潔にしたい」など、
ご要望に応じて調整可能ですので、ご確認いただけますと幸いです！"
【フォーム内容】,・,,,,
内容：,"例）
・会社名（任意）
・名前
・フリガナ
・電話番号
・受講コース
・メールアドレス
・お問い合わせ内容

※太字はマストで聞いた方がいいもの",FALSE,,,
問合せ用のメールアドレス：,info@radilia-inc.com,FALSE,,,
